id	CD274	CTLA4	HAVCR2	LAG3	PDCD1	PDCD1LG2	TIGIT
TCGA-2Y-A9GS-01A-12R-A38B-07	0.46233471068437	0.564258189652799	1.66235283361291	0.7004407018457	0.178568970838697	0.675632310801751	0.30853552013762
TCGA-2Y-A9GT-01A-11R-A38B-07	0.792174903722478	1.5331607042637	1.29506900235101	2.50032579636915	2.36824471924845	1.01202906457324	1.51372551229858
TCGA-2Y-A9GU-01A-11R-A38B-07	0.123054356428197	0.216298341887352	0.6950930046772	0.729693871084394	0.357451319866186	0.195338421709298	0.238972495646383
TCGA-2Y-A9GV-01A-11R-A38B-07	0.483838906826889	0.242709271355521	1.56651846951087	0.475470479530026	0.395029993544069	1.16573644958878	0.207724263024473
TCGA-2Y-A9GW-01A-11R-A38B-07	0.949199883029794	0.746459850275196	2.15046748870849	0.460574496079442	0.33500578406932	1.14726543498868	0.495740962523651
TCGA-2Y-A9GX-01A-11R-A38B-07	0.807400788655756	1.21605374196539	2.56185678507969	0.869843611131245	0.996493200184203	1.26943220672968	0.941876008969278
TCGA-2Y-A9GY-01A-11R-A38B-07	1.07695648328871	2.4197705343843	2.81601390534561	3.93511170800091	2.62687353409062	1.51329368014939	1.83011851563725
TCGA-2Y-A9GZ-01A-11R-A39D-07	0.369544113069655	0.0269516425451182	0.614204554650488	0.726022820686443	0.0270274251951021	0.204306143909754	0.104977630634794
TCGA-2Y-A9H0-01A-11R-A38B-07	0.646453493987812	0.941505420120047	1.51456698769432	2.66416403581399	1.92139617511615	0.588184266630198	1.07626275682234
TCGA-2Y-A9H1-01A-11R-A38B-07	0.218272551065392	0.707541363664312	0.600377812393846	1.03495323898783	0.688228462215985	0.300041674558333	0.522628263440501
TCGA-2Y-A9H2-01A-12R-A38B-07	0.891765086174752	0.647572793065468	2.05159002821291	1.04445557178009	1.0663940008443	0.565234339319245	0.509522863516998
TCGA-2Y-A9H3-01A-11R-A38B-07	0.551353620325127	1.30877627885658	1.74729766797688	2.22608550364182	1.28375689985038	0.726976173759524	1.0087260990649
TCGA-2Y-A9H4-01A-11R-A38B-07	0.457520475511317	0.214987886173412	0.928294229960431	1.22509958177195	0.264761981224406	0.710356586198007	0.194700678039402
TCGA-2Y-A9H5-01A-11R-A38B-07	0.176481495784755	0.432025121699367	0.903164544952556	0.676952714671567	1.07635631757045	0.187885193981229	0.325566037328602
TCGA-2Y-A9H6-01A-11R-A39D-07	0.216049716030901	0.426900960709747	1.36835614150756	0.761211565868463	0.684303586224508	0.516285945248668	0.367981036447398
TCGA-2Y-A9H7-01A-11R-A39D-07	0.110459906034269	0.157874952132538	0.632232015691593	0.464379213475152	0.207427845689149	0.142299360641218	0.0569301973667453
TCGA-2Y-A9H8-01A-11R-A39D-07	0.356451286346516	1.19525305748499	1.36939296035731	2.73071760670341	1.32062872063096	0.646231225117379	0.903711145221269
TCGA-2Y-A9H9-01A-21R-A39D-07	0.349653200167413	0.335681838263556	0.888282904024005	0.527428787940049	0.266237934134817	0.651052163954236	0.251177082892084
TCGA-2Y-A9HA-01A-11R-A39D-07	0.41133240091031	0.24076018226463	0.796472637666524	0.288939176201241	0.061722757371034	0.683129777729105	0.200605067782571
TCGA-2Y-A9HB-01A-11R-A39D-07	1.01650638180681	0.952977956106178	1.30443193921309	1.22636366798217	1.62377767347196	0.72093690074739	0.687066884820965
TCGA-3K-AAZ8-01A-12R-A39D-07	0.334717631242717	0.531002419955886	0.533372775943667	0.446919527988564	0.592098836759906	0.248157848969761	0.351990520535619
TCGA-4R-AA8I-01A-11R-A38B-07	0.805048399479063	0.415896281870298	1.27954497715224	0.666484793823673	0.277645045411719	0.355632093856204	0.27420808990678
TCGA-5C-A9VG-01A-11R-A37K-07	0.252559733021931	0.159721204356698	0.902984305209806	0.298784183641924	0.257822325942858	0.264406042833529	0.0576196426968374
TCGA-5C-A9VH-01A-11R-A37K-07	0.210573367745299	0.319756984675312	0.63516724814769	0.468187137360429	0.795071468601842	0.178144690956119	0.145333799944253
TCGA-5C-AAPD-01A-21R-A39D-07	1.20269274798796	1.95964345491777	2.6698320039139	2.97978929849156	2.07625657872931	1.36151592630256	1.135885902582
TCGA-5R-AA1C-01A-11R-A41C-07	0.313360000409327	0.353640942577826	1.1077675844349	0.470306107103569	0.514570510076226	0.601376889453343	0.152582385242237
TCGA-5R-AA1D-01A-11R-A38B-07	0.41444517475376	0.48603418584624	1.6853491705338	0.471284274568412	0.67598805288106	0.934225469216755	0.385220327816749
TCGA-5R-AAAM-01A-12R-A41C-07	0.637776026960385	0.240397561402436	1.71219899661063	0.55928427525659	0.492057983108032	1.07660017809603	0.171485088249759
TCGA-BC-A10Q-01A-11R-A131-07	0.347728640359017	0.241777466184942	2.34271253252308	0.355897320288321	0.218727613084847	0.26060280964984	0.239373020974859
TCGA-BC-A10R-01A-11R-A131-07	0.165405047809759	0.0800656693169321	0.798614422426822	0.187206802264979	0.147049698482955	0.434760873404676	0.0527518327577217
TCGA-BC-A10S-01A-22R-A131-07	0.343013940678949	0.211996380266138	1.60681016606923	0.674553711318125	0.454587979189652	0.784900547015198	0.233611445559816
TCGA-BC-A10T-01A-11R-A131-07	0.515833647074298	0.0743425687491007	0.988119239935156	0.790025923647938	0.119257537137501	0.649694104894329	0.177776613916599
TCGA-BC-A10U-01A-11R-A131-07	0.169308352900117	0.169025175471151	1.0394108990261	0.308471771070775	0.23386149750219	0.152406637783371	0.129823620697345
