Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CSRNP1	-1.60235060659536	3.2620307673877	-14.1359810780844	2.21322619733609e-37	4.60525123016483e-35	74.1396385775489
CPEB3	-1.20849196682473	1.21732442437429	-14.0253738643356	6.40697514197142e-37	1.24895550162283e-34	73.0849632304316
DIRAS3	-1.31389273136864	0.672727333108415	-13.9183397621565	1.78710587780705e-36	3.26063189666097e-34	72.0671916800109
TIMD4	-1.36749675587149	0.571914731071752	-13.9067923693146	1.99590596646689e-36	3.57122537130439e-34	71.9575585536247
NAT2	-2.8540572354633	2.11466688821098	-13.8612195527715	3.08600145683203e-36	5.29163527584003e-34	71.5252073967672
FOSB	-2.65651862580241	1.71127406307264	-13.7957166322378	5.76798140344454e-36	9.36993400091136e-34	70.9046971174443
MT1M	-4.0181165870038	2.36022540956053	-13.5967386247392	3.83026523939012e-35	5.35340995986911e-33	69.0265678737713
ESR1	-1.1083778286269	0.622867816716353	-13.1674520719115	2.19487206792576e-33	2.40513821455132e-31	65.011130015111
CD5L	-2.88559699229688	1.86880586962059	-13.1333890262468	3.01965393975777e-33	3.21384892588358e-31	64.6947498858974
CXCL12	-2.45755240957918	2.70253531873427	-12.8156829157651	5.82154388660864e-32	5.01438005749328e-30	61.7605496588988
LCAT	-2.51897615044639	3.82946693130119	-12.6081984221223	3.95416713135534e-31	2.90008796457701e-29	59.8611683991116
IGFALS	-3.30446439713427	2.64424292197318	-12.5921123847566	4.58472684789942e-31	3.35591132396243e-29	59.7144871897457
RND3	-1.82938711994277	3.1834346718494	-12.5338353614524	7.83084029723408e-31	5.50357994172592e-29	59.1837916137946
MT1G	-5.42866048102298	4.90498771753333	-12.4979355923966	1.08840857904722e-30	7.49302545552989e-29	58.8574273952224
TTC36	-3.4917150840441	2.75653236190785	-12.4427354585197	1.80421901274746e-30	1.19757461996668e-28	58.3564361878702
NPY1R	-1.05950622271606	0.630375307350986	-12.3685540948189	3.55283805427509e-30	2.23792543969797e-28	57.6847777605972
CLTRN	-2.05274057543387	1.63997046665512	-12.1646931278261	2.26553579369497e-29	1.27330674851099e-27	55.848634168708
FOS	-2.81532420810817	3.84618716684785	-12.1485820050533	2.62116504377815e-29	1.45333399538106e-27	55.7041391215963
FAM180A	-1.23499347767978	0.630603310383693	-12.1240680841598	3.27166734679953e-29	1.77157916945557e-27	55.4844577227904
KDM8	-1.92275926986492	2.15305550665006	-12.0990489863485	4.10141782881272e-29	2.18807886516761e-27	55.2604683168024
LPA	-1.88115769697049	1.96448635398693	-12.0843791752948	4.68218069313233e-29	2.47035054860734e-27	55.1292366956476
CYP2C19	-1.17699850725651	0.407204108370692	-12.0189334460754	8.44563104910598e-29	4.21575852825859e-27	54.5447156892195
CYP39A1	-2.35816459934676	2.02133582167876	-11.9077439399748	2.29275740855502e-28	1.06682347861885e-26	53.5551861430458
APOF	-3.39395787853535	4.40071856113669	-11.7051418926125	1.39842043786228e-27	5.78711689134559e-26	51.7638664795271
INMT	-1.80410608899584	1.55476910456984	-11.7021596972697	1.43597644490688e-27	5.92928601632785e-26	51.7376144190083
GSTZ1	-1.47948921543812	2.29340133423674	-11.6957418719869	1.52023772407389e-27	6.24241295169056e-26	51.681130218124
KBTBD11	-1.13690998634785	0.770733547251685	-11.6926571789408	1.56247072765743e-27	6.40872544972046e-26	51.6539869709851
GHR	-2.05247858940762	2.80182267240647	-11.4262964742949	1.64233022938174e-26	5.86017601501359e-25	49.3240617057418
PLGLA	-1.68913743548471	1.35318697539702	-11.3307411935582	3.793593493833e-26	1.30582821398315e-24	48.4950355921802
TRIB1	-1.45057755925304	4.39950817767439	-11.1838098031902	1.36469872071607e-25	4.41062052512056e-24	47.2275001608519
MT1E	-4.03684957406072	5.04596307921631	-11.1764495411138	1.45474889304091e-25	4.69346598435969e-24	47.1642386165358
MT2A	-3.13054781582057	7.39581788261487	-11.1409787521975	1.97875822764029e-25	6.26403822524281e-24	46.8596820870913
LINC01612	-1.14840317932557	0.390516170854767	-11.0573591365513	4.07816714767895e-25	1.23707743501829e-23	46.1437947248446
MT1X	-3.51032698126853	5.10370869864074	-11.0178758583831	5.73224343359475e-25	1.69577342087446e-23	45.8067931811714
FITM1	-1.15626765424819	1.10604665909441	-10.915984907883	1.37587447695065e-24	3.87525770930025e-23	44.9401947428149
ACADS	-1.33147779260451	4.9557038521157	-10.9115105573735	1.42966153400067e-24	4.02063810905976e-23	44.9022419333442
SLC25A47	-4.0104253654001	4.34045516819813	-10.7857727448887	4.18534995742232e-24	1.10647388810141e-22	43.8392550419376
LINC02027	-1.7555132279003	1.11878887611754	-10.7800738390023	4.39344398368533e-24	1.15735688668376e-22	43.7912405124491
CYP2B6	-2.93495478681435	4.0264397550927	-10.6768165734257	1.0557524319844e-23	2.65104803903989e-22	42.9237682467579
C1RL	-1.14937598546438	4.58173628488157	-10.6680874028232	1.13673017366293e-23	2.8466674896638e-22	42.8506517019911
ACSM3	-1.4715446508258	1.85224648134844	-10.659402271029	1.22342193544545e-23	3.05122565947495e-22	42.7779379491066
PHLDA1	-1.76968767707865	2.8974240797619	-10.6191110749371	1.71973437577535e-23	4.1932535753764e-22	42.4410553815133
TCIM	-2.00571521068818	3.97806448158924	-10.608204749194	1.88555055640632e-23	4.56749650151585e-22	42.3499914206809
EGR1	-2.31914272607557	4.59320143185257	-10.5826759637055	2.33842330447337e-23	5.59861165811795e-22	42.1370457278115
DCN	-2.28416050238043	2.09636539794134	-10.5698240414136	2.60578310764356e-23	6.19865091463727e-22	42.0299547389534
ETFDH	-1.19411877100145	3.50149896805531	-10.4605555251187	6.52171666050519e-23	1.48555560683758e-21	41.1225064180618
CPED1	-1.1638006048814	1.27265648835642	-10.45514409887	6.82389698593128e-23	1.54867338581448e-21	41.0777086617667
RETREG1	-1.84877331661501	1.66677023711822	-10.3820818336986	1.25615916243974e-22	2.76608936138187e-21	40.4742043431989
PLGLB2	-1.0023048904807	1.10967777099848	-10.329853661883	1.94014216298727e-22	4.15369857992616e-21	40.0443221461618
ZFP36	-1.56961187517333	5.6874120325631	-10.316204312997	2.17310821068142e-22	4.62306616353925e-21	39.9321880377059
SOCS2	-1.33086539807834	1.60066125396013	-10.2089925936429	5.27952374477298e-22	1.07737190335483e-20	39.0544820517689
MOGAT2	-2.26430160288592	2.30782110709757	-10.1767761048809	6.88621271013822e-22	1.38614970846793e-20	38.7918105373821
MT1P3	-1.02579021158378	0.361257849950423	-10.117120541202	1.12480192747814e-21	2.22307437512995e-20	38.3067422247968
C9	-4.2418987929413	4.76566490554057	-10.1096836268709	1.19561061899384e-21	2.34923215418004e-20	38.2463925700964
GNAO1	-1.05590090155378	0.79742849207277	-10.0639743158633	1.73899091174737e-21	3.35637026520579e-20	37.8760593846242
HAO2	-3.20851365950056	3.53191610162164	-10.0584646067104	1.81919932865511e-21	3.50205326064076e-20	37.8314891593716
CYP2C8	-3.31985734541141	5.79328412795793	-10.0525940064381	1.90870569817813e-21	3.66863734556936e-20	37.7840159213974
MFSD2A	-2.73649838284454	2.47528772448487	-10.0174157902171	2.5443584287123e-21	4.78608163954527e-20	37.4998982996644
PLSCR4	-1.22003282691532	2.25267308735275	-10.0068461623618	2.7735537577766e-21	5.19872895144381e-20	37.4146515647999
GBA3	-2.29141944333646	2.79099582293412	-9.98337631029786	3.35836901753639e-21	6.24434094736511e-20	37.2255586478245
UROC1	-2.79843958641311	2.75926120151778	-9.95750132738173	4.14572207433104e-21	7.62409405109598e-20	37.0174043451641
FOLH1B	-1.210569634949	0.835193273354682	-9.90575506924503	6.31107932797396e-21	1.13691515636916e-19	36.6021255466271
IGFBP3	-1.88870400495126	4.87055360979705	-9.86398757168643	8.85106655284191e-21	1.56704494734301e-19	36.2679070234359
HSD17B13	-3.94425464978262	3.86543705249196	-9.86019034842413	9.12707190405253e-21	1.61052162545163e-19	36.2375656072671
C1R	-1.53868810895444	7.31697842306265	-9.85629819052325	9.41884235572864e-21	1.65726880366497e-19	36.2064731667814
HGF	-1.14787262044957	0.807888736589635	-9.82242654933039	1.23819476868752e-20	2.14500738272444e-19	35.9362131331722
ALDH2	-1.36652446453261	6.04212362551204	-9.76522806996684	1.96257426332676e-20	3.30708942516362e-19	35.4811507306486
SFRP5	-2.22660131931768	1.09706711635032	-9.68971236922016	3.596083534935e-20	5.89083334661312e-19	34.8829207636778
NGFR	-1.52171271713944	1.51211754402881	-9.68930916491488	3.60770218462269e-20	5.90725347100156e-19	34.8797344792745
GLYATL1	-2.10377414684952	3.49146062084748	-9.67594657786893	4.01455926907524e-20	6.5387531313988e-19	34.774185373327
NAAA	-1.01179792606566	2.23217493150328	-9.66301272996378	4.45162500935128e-20	7.22520977635201e-19	34.672110731713
IL1RAP	-1.17889932747636	1.75953021841354	-9.64744213613551	5.0408036524119e-20	8.1174472033927e-19	34.549341690163
SLC22A1	-3.68093984222614	4.84641357895009	-9.56935218660499	9.38458893402012e-20	1.46290574468955e-18	33.9355312773069
GYS2	-2.40716029621375	3.13444111597025	-9.5686674914837	9.43573786996319e-20	1.47026024075598e-18	33.9301634639132
HBB	-1.95886177669709	3.15365740988024	-9.55757026718568	1.03043586245663e-19	1.59754221321342e-18	33.8431987142275
SRPX	-1.4426183764786	1.15911138301515	-9.520822936845	1.37869588256273e-19	2.11358187493206e-18	33.5556861054408
CD4	-1.43820894176622	3.24998628054753	-9.51504785189509	1.44315481825649e-19	2.20783015937976e-18	33.5105663346733
CYP4A22	-2.23033995586428	3.86222490315409	-9.47976122948191	1.90722499111457e-19	2.88561271327212e-18	33.2352611091041
KCND3	-1.25565842758793	1.17803182505735	-9.44085536049844	2.5916947572387e-19	3.86437964648176e-18	32.9324848199737
MT1L	-2.41639005615054	2.76237859094143	-9.40551452187537	3.42186996442715e-19	5.06349259857982e-18	32.658152462039
SRD5A2	-1.88641711915915	1.80212256525755	-9.39422855984621	3.73888406641798e-19	5.48873515862026e-18	32.5706863580278
SLCO1B3	-2.27175964898817	1.7565422423016	-9.38802049611991	3.9255039422175e-19	5.74902392296764e-18	32.5226030644056
CHST4	-1.40512914972654	0.647569771035254	-9.37970953139265	4.18986912134619e-19	6.10721654924912e-18	32.4582645973721
SLC22A10	-1.91882591533542	2.32788760935975	-9.37537229177237	4.33476646995056e-19	6.30353673003647e-18	32.4247030592737
AVPR1A	-1.99776130578682	1.41972908004212	-9.31938381531027	6.71705053474523e-19	9.59822984976442e-18	31.9923753963234
MPC1	-1.15247173018713	5.41992846180748	-9.29957756391298	7.83960716458646e-19	1.11335648068234e-17	31.8398432292333
ASPG	-1.94455718931271	1.92650716021697	-9.28593405339302	8.71914670821355e-19	1.23306512324862e-17	31.7348956342868
CD302	-1.08312772681176	2.66823142910355	-9.28411654584076	8.84346596151386e-19	1.24873920046721e-17	31.7209227843369
DHODH	-1.20850934964002	2.82092975418466	-9.26635785662822	1.01545046004075e-18	1.42517067597534e-17	31.5844901606972
KMO	-1.4213435410707	1.87142513839066	-9.23404744532695	1.30527236283016e-18	1.8099841922315e-17	31.3367045263089
LINC02428	-1.75309249040351	1.88712874951651	-9.16351992594329	2.25357097357183e-18	3.04182805098956e-17	30.7978264693536
ACAA2	-1.27879388784111	5.56033760239363	-9.13547508166779	2.79804810241812e-18	3.7393260981077e-17	30.584308044704
MFAP3L	-1.2480516247257	1.42066518996895	-9.13545003216015	2.79858846156773e-18	3.7393260981077e-17	30.5841175261066
CYP4A11	-2.46832924873826	5.63455555721763	-9.08975024350161	3.97822167000781e-18	5.24174223456952e-17	30.2371206014714
ETS2	-1.13231251095981	5.0870162138908	-9.07654464846989	4.40286920074762e-18	5.78274714387555e-17	30.137067853449
C7	-2.60629818141922	2.8149630048041	-9.0761581001614	4.41595334510163e-18	5.79787593037483e-17	30.1341406224387
ACAA1	-1.11371949538082	4.60107244618746	-9.07456748091132	4.47020028192767e-18	5.85871472194045e-17	30.1220961512012
FBP1	-2.23989844529613	6.57265028433283	-9.05888339906204	5.04172653039763e-18	6.57519250819956e-17	30.0034091385404
LY6E	-2.46405654507303	4.77513958161601	-9.05538905094226	5.17860612006594e-18	6.74183527152907e-17	29.9769849407122
DPT	-1.77944923492176	1.42942173105049	-9.05117671849873	5.3485117302365e-18	6.95081324436841e-17	29.94514046171
HOGA1	-1.38245489352672	2.25659702777382	-8.95482975408106	1.11620915262318e-17	1.41099503736714e-16	29.2195035047419
CYP3A4	-4.53874822331841	5.3152838590538	-8.95158409381029	1.14411612760623e-17	1.44331652364712e-16	29.1951502621776
ASS1	-1.5977901639755	7.58579972313613	-8.89075118494137	1.8155380557998e-17	2.24595519407859e-16	28.7398113216031
FOXO1	-1.01212353763318	2.34380086745465	-8.87207682051941	2.09114681184924e-17	2.57144407759868e-16	28.6004565789562
ALDH8A1	-1.84396317711427	4.42680953615578	-8.83284590826398	2.81223349205337e-17	3.41282778763672e-16	28.3083539427059
ALDH6A1	-1.55145738590111	4.61223347802178	-8.82745607959248	2.92886310456513e-17	3.54855190274398e-16	28.2682919992871
GLS2	-1.42853055205419	1.09245204459946	-8.82133450616979	3.06714305889799e-17	3.70880981441279e-16	28.2228114178112
MASP1	-1.19611562591566	2.98996250371587	-8.82043571314606	3.08798276195613e-17	3.73279065069619e-16	28.2161356049028
NDRG2	-1.08885095121625	4.43185930623509	-8.8191741461584	3.11747052639798e-17	3.76474970188225e-16	28.2067660642236
DUSP6	-1.14583377507149	3.68886705520901	-8.77798482698297	4.24958667976344e-17	5.06097078601537e-16	27.9013626498055
NR4A1	-1.32053189304418	1.82317985813461	-8.77434911572457	4.36719492786832e-17	5.19769170110497e-16	27.8744524438209
FXYD1	-2.09993750337023	2.60481961508981	-8.76752625442653	4.5966642550718e-17	5.45677085510735e-16	27.8239728437297
EPHA2	-1.25424494213837	2.53534232608107	-8.70803289008246	7.1759857597417e-17	8.37379207842826e-16	27.3849546323503
ANXA10	-1.85364115621094	2.63622740037786	-8.6886957011881	8.29020866739554e-17	9.62849635067406e-16	27.2427056607344
FAM99A	-2.08695419116086	1.8904270329968	-8.6864212213458	8.43203368866568e-17	9.7809478158722e-16	27.2259884600317
STEAP4	-1.02706893419086	1.00983757627903	-8.67346319046319	9.28704934514422e-17	1.07391112596145e-15	27.1308061870012
SLC39A14	-1.21962543853926	5.27986295953252	-8.6703183516105	9.50717147342581e-17	1.09765154935394e-15	27.1077208848138
GADD45B	-1.52948018442296	5.46365391593034	-8.6687895391836	9.61603754766814e-17	1.1091834278746e-15	27.0965004407638
NNMT	-3.01421444252605	5.89008118384105	-8.63730665170803	1.21533152040622e-16	1.38290165446407e-15	26.8657435496811
BCKDHB	-1.00193000256307	2.83759873715841	-8.6347294927357	1.23882137819691e-16	1.40876469774815e-15	26.8468799020913
HBA2	-1.63974168775186	2.45847500220923	-8.61492210987357	1.4349991171965e-16	1.61794512337059e-15	26.702029803462
STEAP3	-1.50790013815363	4.23992886481657	-8.60826240826679	1.50763047924564e-16	1.69519179387674e-15	26.65338000249
PCK1	-2.92465024600357	5.56708974537033	-8.59188375385173	1.70209655482464e-16	1.90575127562258e-15	26.5338441172859
C6	-2.13862005056299	5.10741769668201	-8.55494468581552	2.23648592592546e-16	2.47934647484068e-15	26.2648379807218
ACADSB	-1.41582744191735	4.85297329334437	-8.50795369052664	3.16166699920931e-16	3.43709487281228e-15	25.9238060735593
RDH16	-2.51144125738246	4.62089657312437	-8.50008001741683	3.35006534189101e-16	3.6323103083419e-15	25.8667931230503
CCN1	-1.54291137436961	4.03479779971303	-8.4919346850405	3.55664935240675e-16	3.84055914619362e-15	25.807852267338
PLPP3	-1.16981500794448	4.05349089228595	-8.48550658867225	3.72853295721724e-16	4.00746963637296e-15	25.7613657372925
SERPINA11	-2.40010896868834	5.84522856185976	-8.4848389122762	3.74685050095178e-16	4.0248216025015e-15	25.756538677863
IL13RA2	-1.06380474167363	0.541743243428253	-8.4784813487804	3.92578859793765e-16	4.20849082750838e-15	25.710589222335
MS4A6A	-1.12158333543692	1.99626936143645	-8.46929430531208	4.19939055663632e-16	4.49399096898861e-15	25.6442326106189
ACSL1	-1.67471350036203	5.93173081544886	-8.46211487870824	4.42625677830483e-16	4.71768916704616e-15	25.5924121073467
GLYAT	-2.53520758439312	3.59597022473422	-8.3975827429723	7.09302348183003e-16	7.40658031350495e-15	25.1280231108075
AGXT2	-1.6105084803879	2.98286364587902	-8.35340727778672	9.78145465503818e-16	1.00999586705688e-14	24.8115836205519
PBLD	-1.46336352362618	3.87053528079223	-8.30762341380783	1.3630825558049e-15	1.38926394336548e-14	24.484880764501
SLC7A2	-1.63415242808047	4.01987418697362	-8.30377967368383	1.40151141179266e-15	1.42725267170681e-14	24.4575112170619
KLKB1	-1.4623557661235	4.5408880480604	-8.27590851760199	1.71409039823035e-15	1.72980986178621e-14	24.2593250101032
CD1D	-1.11447142055799	1.58813685850118	-8.26026635969874	1.91874372787304e-15	1.9285327053721e-14	24.1483064175512
TMEM82	-1.92644828810866	2.76375453642123	-8.25736791439562	1.95923428733858e-15	1.96762797002295e-14	24.1277515856208
ADH4	-3.42860927895839	6.48190364136815	-8.24850758600007	2.08832052307664e-15	2.09103042805387e-14	24.0649492007142
CDHR2	-1.94362099812779	1.89838702758668	-8.22303378371783	2.50813980490422e-15	2.49119018755813e-14	23.8846603687336
GNE	-1.11893404435847	3.66026188519412	-8.22097492107437	2.54550582039241e-15	2.52762585993818e-14	23.8701064905684
AKR1D1	-2.30205239986205	3.46140107000563	-8.20654493054536	2.82328800213589e-15	2.79297385211295e-14	23.7681762685185
CD163	-1.27038108557456	2.23957013214185	-8.11831105526321	5.30392933783134e-15	5.1198054421318e-14	23.1477338360226
BCHE	-1.96627560297538	3.17290576444665	-8.1092611994985	5.65676030032292e-15	5.44619412537978e-14	23.0843725477064
ZG16	-1.37340630958095	1.79319318911492	-8.10887184044142	5.67244982598752e-15	5.45846185125814e-14	23.0816476592554
SHBG	-2.05199158560939	3.05022294289379	-8.1058631523898	5.79514552602655e-15	5.57218587728378e-14	23.060594883864
C8A	-1.89983805991839	5.99116102710385	-8.05466650327059	8.33368153303812e-15	7.88773672056165e-14	22.7032287857899
EPB41L4B	-1.06608634392541	2.65885166242593	-8.02467701095543	1.03021695113516e-14	9.66737689798052e-14	22.4946631193514
ID1	-1.5391973207734	3.89471045082484	-8.02144994931141	1.05395951649403e-14	9.8751714070088e-14	22.4722540750331
IL33	-1.11461845209828	1.62044047762375	-8.02056370798661	1.06057392928154e-14	9.93021117629929e-14	22.4661010814593
SLC38A2	-1.07471413682215	4.80600346639956	-7.97368225927387	1.47559305630431e-14	1.36223867446159e-13	22.1413244118854
HGFAC	-2.70389949421201	3.46999152186332	-7.96345887724506	1.5854927924743e-14	1.45752003096707e-13	22.0706866880749
EPHX2	-1.26103446897864	4.41570871020136	-7.93971927001446	1.87283120353642e-14	1.71062693259142e-13	21.9069171432153
VSIG4	-1.27224898179772	1.93904872625209	-7.92311186815548	2.10382757332353e-14	1.91265502358265e-13	21.7925641319819
ACSM5	-1.9853257389856	3.82963757753389	-7.90465094763794	2.39370671441781e-14	2.16186562517939e-13	21.6656560628407
SKAP1	-1.09216557830892	1.71514440449047	-7.89591454384486	2.54430164753013e-14	2.2912364500272e-13	21.6056747140128
IGHA1	-2.79714179042403	4.68747120129488	-7.84974393739658	3.50960318962048e-14	3.11350138771649e-13	21.2894987696992
C1QTNF1	-1.51126051418101	2.18324554296754	-7.84309936908617	3.67547165594796e-14	3.25208120384617e-13	21.2441101229593
UGT2B7	-2.28763136147482	6.0523960306931	-7.84180575147752	3.70865254231671e-14	3.27985902540139e-13	21.2352768208847
JCHAIN	-2.08159100318871	2.3604967382096	-7.83757708882356	3.81919248491851e-14	3.37199645426488e-13	21.2064094975953
TMEM220	-1.07596884240359	3.33368206821747	-7.83077596347813	4.00383570307096e-14	3.53081111357958e-13	21.1600053295011
GCH1	-1.18209687671772	3.45972283195742	-7.79969033390531	4.9663130648976e-14	4.33826187022824e-13	20.9482895967418
MT1DP	-1.61824361869375	1.9077381770312	-7.78938753837422	5.33314525438446e-14	4.64337174263967e-13	20.8782585962014
F9	-2.43292217086432	5.23864956411736	-7.78138396757434	5.63645026483468e-14	4.89823662386079e-13	20.8239037560289
THRSP	-3.00614094389048	3.48906330540158	-7.76328558866363	6.38648050131298e-14	5.50995725151713e-13	20.701145749924
IL1RN	-1.44306738360981	3.66164083925865	-7.74369369474749	7.30958113801094e-14	6.26550025895972e-13	20.568498535077
ATF3	-1.14459897532777	3.0794396613582	-7.7286704078333	8.10548752382679e-14	6.9252836656862e-13	20.4669532127207
ALPL	-1.68511457447551	3.33443331007283	-7.72792920346311	8.14689448663626e-14	6.95745164851358e-13	20.461947094207
BBOX1	-1.70505046479897	1.98607528583735	-7.71441318363845	8.9396166594585e-14	7.60288224645291e-13	20.3707226220621
ENO3	-1.4782881902337	2.32618455264152	-7.70819160237429	9.32963592369307e-14	7.91640447518313e-13	20.3287712185668
FAM99B	-1.18426518469932	1.10271068906614	-7.70631911324478	9.45027080766294e-14	8.01142435738659e-13	20.3161502164031
AFM	-2.10198245721854	5.35172894383138	-7.70580784642797	9.48347565135242e-14	8.03773389415997e-13	20.3127045621255
DUSP1	-1.39145566497251	6.33843228823886	-7.68378642046396	1.10283220062671e-13	9.28123132170237e-13	20.1644554800954
DTX1	-1.34219706793938	1.93029589297244	-7.67830489548626	1.14499327204353e-13	9.61638567119011e-13	20.1276032457719
ATOH8	-1.12912148118091	1.43202322392727	-7.65856431798646	1.310421333117e-13	1.09338556737976e-12	19.9950516453882
MAT1A	-1.65903502131676	7.41459909869385	-7.65300372622499	1.36113173510967e-13	1.13441937905023e-12	19.9577604863158
HP	-2.57240032786161	9.49955289894613	-7.65252247150976	1.3656105084274e-13	1.13789610823698e-12	19.9545339939712
ID2	-1.00210817218262	5.8772045073291	-7.64177544340317	1.46950048290511e-13	1.2219883000862e-12	19.8825222019588
DMGDH	-1.42952431215994	3.70436821873689	-7.61126168756616	1.80885441806358e-13	1.49112730772845e-12	19.678477647677
TDO2	-2.25590786703526	4.34113262553161	-7.59579155318423	2.00932925283195e-13	1.64795254354273e-12	19.5752652195399
