Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CLEC4M	-2.38869885261016	0.401967856072195	-35.5642376828054	1.02654533991951e-128	3.80211862999389e-124	282.644954966058
CLEC1B	-2.05675881850742	0.376175558794585	-33.1977791831466	1.88935201425431e-119	3.49889099519756e-115	261.564975811447
CLEC4G	-4.29276883479891	0.967248594315395	-32.6912904180256	1.98928869194238e-117	2.45597581907206e-113	256.960172239098
STAB2	-1.55115095385895	0.324382301946225	-31.6596352103941	2.8875352950379e-113	2.67371330644034e-109	247.480478099134
BMPER	-1.14371940597016	0.25090244993955	-29.566699825732	1.18831626755606e-104	8.80257158354824e-101	227.844709880736
GDF2	-2.59339684336864	0.524484107241182	-28.1655769615209	9.21856895524379e-99	5.69062261607199e-95	214.409649250351
FCN2	-4.37751447223504	1.38209557433894	-25.7149932692171	3.02634665148728e-88	1.60128324682551e-84	190.403700794849
CRHBP	-3.5075683780745	1.10771230341325	-25.0937846744245	1.5327376000084e-85	7.09619190363887e-82	184.226748662915
MARCO	-4.02907638371399	1.24955406155161	-23.9098169302443	2.38134126875944e-80	9.80001310136801e-77	172.367042250473
COLEC10	-2.92567152867656	1.0707266873338	-23.321797026092	9.34861996794741e-78	3.14776533066215e-74	166.439803289557
VIPR1	-1.55344977668702	0.586100952578674	-23.1622837052006	4.74199093465594e-77	1.46361550198156e-73	164.828213357926
NTF3	-1.01771850181527	0.343192688243649	-22.9581015631488	3.79791258933054e-76	1.0820545114125e-72	162.763209179044
INS-IGF2	-1.57191416953256	0.358510430543482	-21.7197792036154	1.19530336985382e-70	3.16226044376041e-67	150.196618999105
FCN3	-4.02234518084613	1.87038818564104	-21.1282313914084	5.14920410433465e-68	1.19197638510217e-64	144.174501339195
ANGPTL6	-1.93424072744147	1.33805719388334	-20.9199086666355	4.36672486428837e-67	9.51380914844192e-64	142.051944843096
CFP	-1.97815505385649	0.977245113146465	-20.8873946058194	6.09652343721015e-67	1.25446130592994e-63	141.720606539043
ADAMTS13	-1.55625155092756	1.17065295600516	-20.4701885517212	4.4164515332842e-65	8.60929115209369e-62	137.468074320643
PTH1R	-2.03496873341216	1.07692533539513	-19.4471170853607	1.60376450642842e-60	2.97001148945479e-57	127.041523279693
CXCL14	-3.15349850722346	1.11406074962099	-18.8564455572355	6.81682511827871e-58	1.14764349423094e-54	121.03128611164
OIT3	-2.57575291321225	2.49175709245616	-18.0465573941206	2.67067314628139e-54	3.80447661507577e-51	112.815272334954
CCL23	-1.02392521085171	0.552858867770066	-17.9339472804102	8.41113321913375e-54	1.15382056359361e-50	111.675994290925
ECM1	-2.29016665650294	1.74095726420131	-17.5066030760395	6.48383155312121e-52	8.57671975230369e-49	107.361222047178
KCNN2	-1.53812695005072	0.538864103621578	-17.0036881916067	1.05583597040325e-49	1.26148557005792e-46	102.30395922577
ASS1P2	-1.10977132575604	0.271579232957216	-16.8888449510675	3.36601940731815e-49	3.77789778206817e-46	101.152681924224
LINC01093	-3.48938798878971	1.7315895579329	-16.6866595954356	2.58247689498571e-48	2.5170994535916e-45	99.129390442317
BCO2	-1.76511199334719	0.901071968616445	-16.4762192664656	2.14221760888063e-47	1.9352062389688e-44	97.028633588388
SMUG1P1	-1.53617171073873	0.512983132971327	-16.2951597966082	1.31664971483629e-46	1.1340947008862e-43	95.2256617834135
DBH	-2.18069258938887	1.38120171163353	-16.1945652723748	3.60408469774358e-46	2.90191497902232e-43	94.2258416737244
ADRA1A	-1.81626640759344	0.904690216480021	-16.1537389813406	5.42139879550637e-46	4.1832868455826e-43	93.8204629419549
LIFR	-1.52287034957424	0.975789826584945	-16.0310495378034	1.84655185591631e-45	1.290426181876e-42	92.6036577803856
LYVE1	-1.9350279351353	1.10353153276799	-15.8775384253325	8.53068077118775e-45	5.44757507591813e-42	91.0842729503428
AADAT	-2.07578217094925	1.69498160793049	-15.8434399606548	1.19785416303535e-44	7.51968177805144e-42	90.7472640921821
PZP	-2.41430930272014	0.746168646021982	-15.7631859830538	2.66112453809086e-44	1.51634970218168e-41	89.9547922183127
HAMP	-4.7569557555679	2.42581074917165	-15.709323331484	4.54446470590788e-44	2.5438129559944e-41	89.4234911390697
MT1H	-4.82931099250606	2.21757201491082	-15.321210186757	2.11877333285365e-42	9.80939083777918e-40	85.6093179784481
DNASE1L3	-2.56766979049017	2.29637125809178	-14.9966879142087	5.15787208898645e-41	1.96945635496784e-38	82.4405654760509
CYP26A1	-1.77084772454417	0.667554772103207	-14.86811309065	1.81704036853366e-40	6.11814010634088e-38	81.1906629384995
CNDP1	-2.01447665546623	0.852496166161491	-14.7892758795922	3.9264378076528e-40	1.25368451310211e-37	80.4258980478874
MT1XP1	-2.03828443758077	1.10800139694232	-14.6314236172835	1.82967117819097e-39	5.42138888782697e-37	78.898475690988
ADGRG7	-1.40085514410161	0.826946185618152	-14.5733572011763	3.21862226058542e-39	9.31338525684084e-37	78.3379258820309
CYP1A2	-5.01855177084043	2.57044890810447	-14.5096503014111	5.97635551155684e-39	1.6769110260382e-36	77.7237582838456
CETP	-1.94271356313718	1.73601493955678	-14.4965515368681	6.78657228010644e-39	1.86193380822654e-36	77.5975885911736
MT1F	-3.88107742737056	2.58604135109527	-14.3732016030958	2.24284130106176e-38	5.46515500715298e-36	76.4113151377802
MT2P1	-2.93348420668797	2.03312988799051	-14.3006120715956	4.52505609035382e-38	1.05231823759583e-35	75.7148052125834
RCAN1	-1.75210274674516	2.86565763186541	-14.1587833664368	1.77706208493318e-37	3.76107574295743e-35	74.3574291824008
