id	HR	HR.95L	HR.95H	pvalue
age	1.00432595004937	0.986075512515202	1.02291416949371	0.6445577123933
gender	0.795005336292569	0.493806216915292	1.27992208903696	0.345072820283993
grade	1.00492992646205	0.735967576769968	1.37218566275872	0.975313984631703
stage	1.85667927620534	1.44801842133785	2.38067270684678	1.06804904029917e-06
T	1.79632183128238	1.4266301370016	2.26181407349455	6.28612080772771e-07
N	2.00758237313398	0.49043000260584	8.21806774361946	0.332457524890778
M	3.82529368590652	1.19911833786142	12.2030256075755	0.0234046368099627
riskScore	1.44637000735579	1.29635668464291	1.61374274762553	3.95166840542023e-11
