Cell1	Cell2	cor	p.value
Eosinophil	Immature  B cell	0.355280079036985	3.56103993710778e-10
Gamma delta T cell	Immature  B cell	0.575620762963807	5.69668931312318e-31
Immature  B cell	Immature  B cell	1	0
Immature dendritic cell	Immature  B cell	0.523042000691423	7.02080809003927e-27
Macrophage	Immature  B cell	0.749220643746008	1.42220453554267e-66
Mast cell	Immature  B cell	0.675772494707703	9.35168495953408e-50
MDSC	Immature  B cell	0.835526602980144	6.52348927391055e-96
Memory B cell	Immature  B cell	0.255647416370671	7.96581814303665e-07
Monocyte	Immature  B cell	0.499935524044012	2.37546441585368e-24
Natural killer cell	Immature  B cell	0.644796439120899	4.79950778142335e-44
Natural killer T cell	Immature  B cell	0.717515533186051	1.17496760378136e-58
Neutrophil	Immature  B cell	0.387546657260369	1.86382677022305e-14
Plasmacytoid dendritic cell	Immature  B cell	0.544754090710896	1.93383922019588e-29
Regulatory T cell	Immature  B cell	0.830242836018828	1.17473573731918e-93
T follicular helper cell	Immature  B cell	0.781408947657064	6.24780523142808e-76
Type 1 T helper cell	Immature  B cell	0.833442549414423	5.17068455773228e-95
Type 17 T helper cell	Immature  B cell	0.277226791290076	7.90590702773077e-08
Type 2 T helper cell	Immature  B cell	0.52760298465974	2.10797128322349e-27
riskScore	Immature  B cell	0.00514202020982533	0.922224994110334
Activated B cell	Immature dendritic cell	0.393030124069803	1.064247418675e-12
Activated CD4 T cell	Immature dendritic cell	0.2932476865174	1.04547558878719e-06
Activated CD8 T cell	Immature dendritic cell	0.303560828924968	3.09523534218086e-07
Activated dendritic cell	Immature dendritic cell	0.523083395760443	1.63210485951631e-24
CD56bright natural killer cell	Immature dendritic cell	0.377111085800187	1.3441044005992e-11
CD56dim natural killer cell	Immature dendritic cell	0.223928005695962	0.000829301563205072
Central memory CD4 T cell	Immature dendritic cell	0.511561768216716	3.0156035196619e-23
Central memory CD8 T cell	Immature dendritic cell	0.544046360470268	6.06396557387818e-27
Effector memeory CD4 T cell	Immature dendritic cell	0.578506626472473	2.31816439489342e-31
Effector memeory CD8 T cell	Immature dendritic cell	0.52234179682698	1.96455089855715e-24
Eosinophil	Immature dendritic cell	0.355888962870379	3.27893743820756e-10
Gamma delta T cell	Immature dendritic cell	0.494697918856633	1.77471788644647e-21
Immature  B cell	Immature dendritic cell	0.523042000691423	1.64286909306919e-24
Immature dendritic cell	Immature dendritic cell	1	0
Macrophage	Immature dendritic cell	0.536796202290929	1.76308575283515e-28
Mast cell	Immature dendritic cell	0.515341012578582	5.13940508570491e-26
MDSC	Immature dendritic cell	0.548128666913197	7.44051836254526e-30
Memory B cell	Immature dendritic cell	0.227188682738658	1.23744677999529e-05
Monocyte	Immature dendritic cell	0.263805757276375	3.40635021230746e-07
Natural killer cell	Immature dendritic cell	0.543813042808523	2.51920383043375e-29
Natural killer T cell	Immature dendritic cell	0.546007483224962	1.35798835715364e-29
Neutrophil	Immature dendritic cell	0.408661905648345	4.80551029346006e-16
Plasmacytoid dendritic cell	Immature dendritic cell	0.483741271285219	1.08932724598393e-22
Regulatory T cell	Immature dendritic cell	0.653282930028284	1.5254085514255e-45
T follicular helper cell	Immature dendritic cell	0.503031122569043	1.11677618210938e-24
Type 1 T helper cell	Immature dendritic cell	0.56337835946073	8.6520209487729e-32
Type 17 T helper cell	Immature dendritic cell	0.361342073295865	1.22844486564213e-12
Type 2 T helper cell	Immature dendritic cell	0.381629169424247	4.96130254048161e-14
riskScore	Immature dendritic cell	0.0735688219364764	0.161892165541025
Activated B cell	Macrophage	0.729998278968646	4.451696136192e-59
Activated CD4 T cell	Macrophage	0.537424905581611	3.73910093135094e-26
Activated CD8 T cell	Macrophage	0.68615262186332	2.71020333514407e-49
Activated dendritic cell	Macrophage	0.662971884970881	8.49599685012474e-45
CD56bright natural killer cell	Macrophage	0.535609543645706	6.048977954773e-26
CD56dim natural killer cell	Macrophage	0.457338994506247	6.80532665767502e-18
Central memory CD4 T cell	Macrophage	0.635378433720975	6.12429078536579e-40
Central memory CD8 T cell	Macrophage	0.728399174908467	1.09014563580872e-58
Effector memeory CD4 T cell	Macrophage	0.594693854613493	1.25012190561349e-33
Effector memeory CD8 T cell	Macrophage	0.769331873550859	1.15114683081191e-69
Eosinophil	Macrophage	0.350464703553604	7.01971088232943e-10
Gamma delta T cell	Macrophage	0.552134706077449	6.27915717070157e-28
Immature  B cell	Macrophage	0.749220643746008	5.26215678150786e-64
Immature dendritic cell	Macrophage	0.536796202290929	4.40771438208788e-26
Macrophage	Macrophage	1	0
Mast cell	Macrophage	0.730487493420693	9.27122174358295e-62
MDSC	Macrophage	0.873754322021525	4.7352292638327e-115
Memory B cell	Macrophage	0.124992536343616	0.0171925045433908
Monocyte	Macrophage	0.511148821043346	1.48717914501747e-25
Natural killer cell	Macrophage	0.684995817843633	1.35843470965184e-51
Natural killer T cell	Macrophage	0.79326148487374	8.68964912268599e-80
Neutrophil	Macrophage	0.55145256551585	2.87337923941465e-30
Plasmacytoid dendritic cell	Macrophage	0.600550378802513	5.98069159200061e-37
Regulatory T cell	Macrophage	0.829165811586706	3.31231571448843e-93
T follicular helper cell	Macrophage	0.751301937640461	3.90559250234474e-67
Type 1 T helper cell	Macrophage	0.813145919876206	7.33560015799087e-87
Type 17 T helper cell	Macrophage	0.435903373371982	2.87703365920052e-18
Type 2 T helper cell	Macrophage	0.470811207878009	2.00299763153021e-21
riskScore	Macrophage	-0.00366659959829222	0.944498188588641
Activated B cell	Mast cell	0.677104663292509	1.71645677257143e-47
Activated CD4 T cell	Mast cell	0.370342615696709	3.86232607755316e-11
Activated CD8 T cell	Mast cell	0.611298043995181	4.26512338667671e-36
Activated dendritic cell	Mast cell	0.498697936919936	6.92332210426192e-22
CD56bright natural killer cell	Mast cell	0.520920817003188	2.80831637037595e-24
CD56dim natural killer cell	Mast cell	0.250571628271277	8.52505566050718e-05
Central memory CD4 T cell	Mast cell	0.513950138259531	1.66244144428186e-23
Central memory CD8 T cell	Mast cell	0.546344664878065	3.22200268201503e-27
Effector memeory CD4 T cell	Mast cell	0.592933686102948	2.23791914051211e-33
Effector memeory CD8 T cell	Mast cell	0.705100273909917	2.66578489621893e-53
Eosinophil	Mast cell	0.483027519943643	2.55401136140922e-20
Gamma delta T cell	Mast cell	0.538972579404523	2.45142426169829e-26
Immature  B cell	Mast cell	0.675772494707703	3.12346277648438e-47
Immature dendritic cell	Mast cell	0.515341012578582	1.17178435954072e-23
Macrophage	Mast cell	0.730487493420693	3.38399593640778e-59
Mast cell	Mast cell	1	0
MDSC	Mast cell	0.703664743092167	1.57049005532704e-55
Memory B cell	Mast cell	0.140189795137058	0.00747327438485873
Monocyte	Mast cell	0.418514433833369	7.96130239622944e-17
Natural killer cell	Mast cell	0.548881555410938	6.00360348700337e-30
Natural killer T cell	Mast cell	0.684875144945461	1.43722386648832e-51
Neutrophil	Mast cell	0.410563820910381	3.41209345977885e-16
Plasmacytoid dendritic cell	Mast cell	0.513936339903191	7.34924679276032e-26
Regulatory T cell	Mast cell	0.72704543071193	6.42546034155897e-61
T follicular helper cell	Mast cell	0.718334402915016	7.57413355033086e-59
Type 1 T helper cell	Mast cell	0.741485786940333	1.55344395936145e-64
Type 17 T helper cell	Mast cell	0.261270121139534	4.44931429897189e-07
Type 2 T helper cell	Mast cell	0.450911971002378	1.39898864084225e-19
riskScore	Mast cell	-0.111219769682854	0.034150621056568
Activated B cell	MDSC	0.77523104720493	1.95081388783717e-71
Activated CD4 T cell	MDSC	0.656936734787061	1.08838800346408e-43
Activated CD8 T cell	MDSC	0.789130758744019	7.84329362323601e-76
Activated dendritic cell	MDSC	0.736442362258535	1.10909403770858e-60
CD56bright natural killer cell	MDSC	0.527403786570035	5.31188902958757e-25
CD56dim natural killer cell	MDSC	0.395667617164353	6.82565992786907e-13
Central memory CD4 T cell	MDSC	0.713085508163359	4.35550862802254e-55
Central memory CD8 T cell	MDSC	0.729969427859935	4.5124912950274e-59
Effector memeory CD4 T cell	MDSC	0.618079308938174	3.78158091940175e-37
Effector memeory CD8 T cell	MDSC	0.823540848904988	2.61670305361876e-88
Eosinophil	MDSC	0.325972621050471	1.90861772806734e-08
Gamma delta T cell	MDSC	0.590792933836631	4.52519945218889e-33
Immature  B cell	MDSC	0.835526602980144	2.60939570956422e-93
Immature dendritic cell	MDSC	0.548128666913197	1.9568563293494e-27
Macrophage	MDSC	0.873754322021525	1.91303262258841e-112
Mast cell	MDSC	0.703664743092167	5.49671519364464e-53
MDSC	MDSC	1	0
Memory B cell	MDSC	0.176244398494524	0.000744176897250322
Monocyte	MDSC	0.51699531006412	3.36551836456329e-26
Natural killer cell	MDSC	0.666831912437136	4.89329933687054e-48
Natural killer T cell	MDSC	0.80105053158795	1.83678005507134e-82
Neutrophil	MDSC	0.509182178946117	2.43583664340644e-25
Plasmacytoid dendritic cell	MDSC	0.639383469368402	4.09248303176452e-43
Regulatory T cell	MDSC	0.887580024194791	1.42077651121138e-123
T follicular helper cell	MDSC	0.781479444714	5.93615682679548e-76
Type 1 T helper cell	MDSC	0.834631465972501	1.59287195016469e-95
Type 17 T helper cell	MDSC	0.440926978596491	1.0632653197823e-18
Type 2 T helper cell	MDSC	0.525242462208811	3.93805325509032e-27
riskScore	MDSC	0.120214792741161	0.0219742086249195
Activated B cell	Memory B cell	0.195585429136409	0.00813995143116088
Activated CD4 T cell	Memory B cell	0.347136790883652	1.11095292314464e-09
Activated CD8 T cell	Memory B cell	0.169695949454865	0.0445433712066935
Activated dendritic cell	Memory B cell	0.16766332612641	0.0497785784594785
CD56bright natural killer cell	Memory B cell	0.0447096850914028	1
CD56dim natural killer cell	Memory B cell	-0.0961323959817179	1
Central memory CD4 T cell	Memory B cell	0.171221545907633	0.0411825323839538
Central memory CD8 T cell	Memory B cell	0.141372690594187	0.237329377589872
Effector memeory CD4 T cell	Memory B cell	0.221716254614296	0.000988930240665218
Effector memeory CD8 T cell	Memory B cell	0.193573377902861	0.00910131988805768
Eosinophil	Memory B cell	0.0996153520010878	1
Gamma delta T cell	Memory B cell	0.303795400982744	3.04114193943205e-07
Immature  B cell	Memory B cell	0.255647416370671	5.25743997440419e-05
Immature dendritic cell	Memory B cell	0.227188682738658	0.000680595728997407
Macrophage	Memory B cell	0.124992536343616	0.515775136301724
Mast cell	Memory B cell	0.140189795137058	0.246618054700338
MDSC	Memory B cell	0.176244398494524	0.0297670758900129
Memory B cell	Memory B cell	1	0
Monocyte	Memory B cell	0.264285689197794	3.23740020364419e-07
Natural killer cell	Memory B cell	0.195510165374555	0.00017799667923823
Natural killer T cell	Memory B cell	0.226374328835404	1.33190860385266e-05
Neutrophil	Memory B cell	0.093555364775857	0.0750387090341028
Plasmacytoid dendritic cell	Memory B cell	0.0881576986549362	0.0935222642063074
Regulatory T cell	Memory B cell	0.178055495483923	0.000654446669548432
T follicular helper cell	Memory B cell	0.181794097414389	0.000500022308084615
Type 1 T helper cell	Memory B cell	0.224265438228271	1.60940143796278e-05
Type 17 T helper cell	Memory B cell	0.0396584831542139	0.451278109038695
Type 2 T helper cell	Memory B cell	0.383750603991689	3.50066581349112e-14
riskScore	Memory B cell	0.117684174188443	0.0249453285328881
Activated B cell	Monocyte	0.522209332606118	2.02496820033359e-24
Activated CD4 T cell	Monocyte	0.415617531639631	2.12004428157684e-14
Activated CD8 T cell	Monocyte	0.440080763034053	2.16518047603214e-16
Activated dendritic cell	Monocyte	0.443136220886095	1.18793666367831e-16
CD56bright natural killer cell	Monocyte	0.31173898928796	1.15760415305839e-07
CD56dim natural killer cell	Monocyte	0.258662733549725	4.02874530286769e-05
Central memory CD4 T cell	Monocyte	0.422950229077803	5.59540806660031e-15
Central memory CD8 T cell	Monocyte	0.424464285087088	4.25698286517972e-15
Effector memeory CD4 T cell	Monocyte	0.291081595451259	1.31936492773979e-06
Effector memeory CD8 T cell	Monocyte	0.406407755980835	1.07142898477333e-13
Eosinophil	Monocyte	0.0872801231917254	1
Gamma delta T cell	Monocyte	0.33310536776132	7.66299071714517e-09
Immature  B cell	Monocyte	0.499935524044012	5.17851242656102e-22
Immature dendritic cell	Monocyte	0.263805757276375	2.52069915710752e-05
Macrophage	Monocyte	0.511148821043346	3.33128128483913e-23
Mast cell	Monocyte	0.418514433833369	1.24992447620802e-14
MDSC	Monocyte	0.51699531006412	7.70703705484994e-24
Memory B cell	Monocyte	0.264285689197794	2.42805015273314e-05
Monocyte	Monocyte	1	0
Natural killer cell	Monocyte	0.412456704520994	2.42139223974307e-16
Natural killer T cell	Monocyte	0.454094624611953	7.22622160085903e-20
Neutrophil	Monocyte	0.380894093350146	5.59519887516597e-14
Plasmacytoid dendritic cell	Monocyte	0.291431571943877	1.54381961117061e-08
Regulatory T cell	Monocyte	0.463471485822064	9.90730189756911e-21
T follicular helper cell	Monocyte	0.459017376395578	2.56558514459698e-20
Type 1 T helper cell	Monocyte	0.503743117756177	9.37781460437709e-25
Type 17 T helper cell	Monocyte	0.257112049176339	6.85349642752317e-07
Type 2 T helper cell	Monocyte	0.332471646886514	8.11956744019337e-11
riskScore	Monocyte	-0.000823887313088719	0.987519181089565
Activated B cell	Natural killer cell	0.602286212030059	9.74802921855605e-35
Activated CD4 T cell	Natural killer cell	0.424229211270899	4.42320305602522e-15
Activated CD8 T cell	Natural killer cell	0.52514211052634	9.58344123267237e-25
Activated dendritic cell	Natural killer cell	0.568592883761141	4.91704906711155e-30
CD56bright natural killer cell	Natural killer cell	0.521264521515652	2.57930597601002e-24
CD56dim natural killer cell	Natural killer cell	0.486735514610954	1.11776212217017e-20
Central memory CD4 T cell	Natural killer cell	0.695836308342587	2.64004895513349e-51
Central memory CD8 T cell	Natural killer cell	0.638032735722339	2.20687272848732e-40
Effector memeory CD4 T cell	Natural killer cell	0.575161403137295	6.55167949967496e-31
Effector memeory CD8 T cell	Natural killer cell	0.684991302017922	4.6458467070093e-49
Eosinophil	Natural killer cell	0.408476004156567	7.50243208606158e-14
Gamma delta T cell	Natural killer cell	0.439486931953029	2.42267193854135e-16
Immature  B cell	Natural killer cell	0.644796439120899	1.5406419978369e-41
Immature dendritic cell	Natural killer cell	0.543813042808523	6.42396976760606e-27
Macrophage	Natural killer cell	0.684995817843633	4.6458467070093e-49
Mast cell	Natural killer cell	0.548881555410938	1.58495132056889e-27
MDSC	Natural killer cell	0.666831912437136	1.61478878116728e-45
Memory B cell	Natural killer cell	0.195510165374555	0.00813995143116088
Monocyte	Natural killer cell	0.412456704520994	3.75315797160176e-14
Natural killer cell	Natural killer cell	1	0
Natural killer T cell	Natural killer cell	0.707412376674054	2.33513344225476e-56
Neutrophil	Natural killer cell	0.55603763388796	7.59900614846107e-31
Plasmacytoid dendritic cell	Natural killer cell	0.622262719701193	2.73325909090557e-40
Regulatory T cell	Natural killer cell	0.697351618747902	3.64221465930114e-54
T follicular helper cell	Natural killer cell	0.577580380443264	1.10455387418739e-33
Type 1 T helper cell	Natural killer cell	0.762412123286056	3.15151057129519e-70
Type 17 T helper cell	Natural killer cell	0.491980395295313	1.59564493603067e-23
Type 2 T helper cell	Natural killer cell	0.455610687654887	5.26240590813552e-20
riskScore	Natural killer cell	-0.111378576220364	0.033893846400619
Activated B cell	Natural killer T cell	0.678551734553744	8.92321099583173e-48
Activated CD4 T cell	Natural killer T cell	0.590480840104145	4.997308467936e-33
Activated CD8 T cell	Natural killer T cell	0.691265289206023	2.40378404811136e-50
Activated dendritic cell	Natural killer T cell	0.682244676468685	1.64910961695365e-48
CD56bright natural killer cell	Natural killer T cell	0.557167092074174	1.46292809025475e-28
CD56dim natural killer cell	Natural killer T cell	0.41900013597653	1.14943333941354e-14
Central memory CD4 T cell	Natural killer T cell	0.696338317634149	2.07145142399553e-51
Central memory CD8 T cell	Natural killer T cell	0.682041966070093	1.80566157572715e-48
Effector memeory CD4 T cell	Natural killer T cell	0.646858666195683	6.75252346363443e-42
Effector memeory CD8 T cell	Natural killer T cell	0.750327271924459	2.65825225220168e-64
Eosinophil	Natural killer T cell	0.349286825680598	8.19443840750909e-10
Gamma delta T cell	Natural killer T cell	0.585411825743318	2.59121776740572e-32
Immature  B cell	Natural killer T cell	0.717515533186051	4.17113499342381e-56
Immature dendritic cell	Natural killer T cell	0.546007483224962	3.53076972859946e-27
Macrophage	Natural killer T cell	0.79326148487374	3.33682526311142e-77
Mast cell	Natural killer T cell	0.684875144945461	4.88656114606028e-49
MDSC	Natural killer T cell	0.80105053158795	7.10833881312607e-80
Memory B cell	Natural killer T cell	0.226374328835404	0.00070591156004191
Monocyte	Natural killer T cell	0.454094624611953	1.3223985529572e-17
Natural killer cell	Natural killer T cell	0.707412376674054	8.2430210511593e-54
Natural killer T cell	Natural killer T cell	1	0
Neutrophil	Natural killer T cell	0.487494173330437	4.57057371653311e-23
Plasmacytoid dendritic cell	Natural killer T cell	0.63295594410612	4.93475980746056e-42
Regulatory T cell	Natural killer T cell	0.80767901109438	7.80234985374365e-85
T follicular helper cell	Natural killer T cell	0.753036767351182	1.31695578346739e-67
Type 1 T helper cell	Natural killer T cell	0.797530445446066	3.07221302983079e-81
Type 17 T helper cell	Natural killer T cell	0.489485652469078	2.87024996876332e-23
Type 2 T helper cell	Natural killer T cell	0.573937614369558	3.44966108783976e-33
riskScore	Natural killer T cell	0.107234302613509	0.0411582195843215
Activated B cell	Neutrophil	0.349968966242196	7.48235713343317e-10
Activated CD4 T cell	Neutrophil	0.257581444171098	4.44020458555767e-05
Activated CD8 T cell	Neutrophil	0.36628063046948	7.23427170527784e-11
Activated dendritic cell	Neutrophil	0.481998915198313	3.21637230913722e-20
CD56bright natural killer cell	Neutrophil	0.38931234511345	1.94085563994554e-12
CD56dim natural killer cell	Neutrophil	0.363692560578548	1.0623453708846e-10
Central memory CD4 T cell	Neutrophil	0.326280198957246	1.85005474289393e-08
Central memory CD8 T cell	Neutrophil	0.497293264244545	9.62304865445738e-22
Effector memeory CD4 T cell	Neutrophil	0.306075892966903	2.31560269693e-07
Effector memeory CD8 T cell	Neutrophil	0.385709217954321	3.46794346544877e-12
Eosinophil	Neutrophil	0.266356697044794	1.97321883029643e-05
Gamma delta T cell	Neutrophil	0.248332280476931	0.000104919731767223
Immature  B cell	Neutrophil	0.387546657260369	2.5720809429078e-12
Immature dendritic cell	Neutrophil	0.408661905648345	7.30437564605928e-14
Macrophage	Neutrophil	0.55145256551585	7.61445498444882e-28
Mast cell	Neutrophil	0.410563820910381	5.22050299346164e-14
MDSC	Neutrophil	0.509182178946117	5.43191571479637e-23
Memory B cell	Neutrophil	0.093555364775857	1
Monocyte	Neutrophil	0.380894093350146	7.38566251521908e-12
Natural killer cell	Neutrophil	0.55603763388796	2.02893464163911e-28
Natural killer T cell	Neutrophil	0.487494173330437	9.4153818560582e-21
Neutrophil	Neutrophil	1	0
Plasmacytoid dendritic cell	Neutrophil	0.491338144527497	1.85686166473484e-23
Regulatory T cell	Neutrophil	0.453184183972732	8.73556115569664e-20
T follicular helper cell	Neutrophil	0.336649287427791	4.54573488817835e-11
Type 1 T helper cell	Neutrophil	0.465155888812343	6.88813692645518e-21
Type 17 T helper cell	Neutrophil	0.452529640123814	1.00083773124054e-19
Type 2 T helper cell	Neutrophil	0.284065256692077	3.64243559510314e-08
riskScore	Neutrophil	-0.0720949066001803	0.170487490412999
Activated B cell	Plasmacytoid dendritic cell	0.499646009440083	5.52959767247677e-22
Activated CD4 T cell	Plasmacytoid dendritic cell	0.400698497885841	2.87458717484489e-13
Activated CD8 T cell	Plasmacytoid dendritic cell	0.407161898874606	9.42878030117257e-14
Activated dendritic cell	Plasmacytoid dendritic cell	0.663963359593696	5.5676113115602e-45
CD56bright natural killer cell	Plasmacytoid dendritic cell	0.471161937008245	3.59654436635505e-19
CD56dim natural killer cell	Plasmacytoid dendritic cell	0.374185081618532	2.13293421608845e-11
Central memory CD4 T cell	Plasmacytoid dendritic cell	0.6331134962476	1.4495094243062e-39
Central memory CD8 T cell	Plasmacytoid dendritic cell	0.580775076254735	1.13787437434652e-31
Effector memeory CD4 T cell	Plasmacytoid dendritic cell	0.537358422591974	3.79287832930075e-26
Effector memeory CD8 T cell	Plasmacytoid dendritic cell	0.539989141947957	1.85802222906823e-26
Eosinophil	Plasmacytoid dendritic cell	0.262671532385244	2.80318534030181e-05
Gamma delta T cell	Plasmacytoid dendritic cell	0.371637152400588	3.17309665809708e-11
Immature  B cell	Plasmacytoid dendritic cell	0.544754090710896	5.00864358030733e-27
Immature dendritic cell	Plasmacytoid dendritic cell	0.483741271285219	2.17865449196785e-20
Macrophage	Plasmacytoid dendritic cell	0.600550378802513	1.74636194486418e-34
Mast cell	Plasmacytoid dendritic cell	0.513936339903191	1.66244144428186e-23
MDSC	Plasmacytoid dendritic cell	0.639383469368402	1.30550208713288e-40
Memory B cell	Plasmacytoid dendritic cell	0.0881576986549362	1
Monocyte	Plasmacytoid dendritic cell	0.291431571943877	1.28137027727161e-06
Natural killer cell	Plasmacytoid dendritic cell	0.622262719701193	8.36377281817105e-38
Natural killer T cell	Plasmacytoid dendritic cell	0.63295594410612	1.53471030012023e-39
Neutrophil	Plasmacytoid dendritic cell	0.491338144527497	3.89940949594317e-21
Plasmacytoid dendritic cell	Plasmacytoid dendritic cell	1	0
Regulatory T cell	Plasmacytoid dendritic cell	0.623740147346376	1.58423277730657e-40
T follicular helper cell	Plasmacytoid dendritic cell	0.580420082177993	4.50106015691257e-34
Type 1 T helper cell	Plasmacytoid dendritic cell	0.620460152604804	5.29615900778718e-40
Type 17 T helper cell	Plasmacytoid dendritic cell	0.351682722099598	5.23829373180392e-12
Type 2 T helper cell	Plasmacytoid dendritic cell	0.390067742403252	1.22077847844338e-14
riskScore	Plasmacytoid dendritic cell	0.147853904006591	0.0047604814686041
Activated B cell	Regulatory T cell	0.724655053635466	8.67232856699442e-58
Activated CD4 T cell	Regulatory T cell	0.558946327404389	8.73001930161921e-29
Activated CD8 T cell	Regulatory T cell	0.68320403855311	1.06069156809145e-48
Activated dendritic cell	Regulatory T cell	0.725349989036579	5.92132181382844e-58
CD56bright natural killer cell	Regulatory T cell	0.486707165260656	1.1196577503203e-20
CD56dim natural killer cell	Regulatory T cell	0.383654517255723	4.76583125723502e-12
Central memory CD4 T cell	Regulatory T cell	0.723544411389715	1.59457093626363e-57
Central memory CD8 T cell	Regulatory T cell	0.739262244535976	2.13043909109024e-61
Effector memeory CD4 T cell	Regulatory T cell	0.661618140774344	1.51065483771095e-44
Effector memeory CD8 T cell	Regulatory T cell	0.82023827503486	5.3685762270154e-87
Eosinophil	Regulatory T cell	0.405986529793662	1.14709928094361e-13
Gamma delta T cell	Regulatory T cell	0.6539698372948	3.73184048315043e-43
Immature  B cell	Regulatory T cell	0.830242836018828	4.66370087715713e-91
Immature dendritic cell	Regulatory T cell	0.653282930028284	4.94232370661862e-43
Macrophage	Regulatory T cell	0.829165811586706	1.31167702293742e-90
Mast cell	Regulatory T cell	0.72704543071193	2.31959118330279e-58
MDSC	Regulatory T cell	0.887580024194791	5.76835263551822e-121
Memory B cell	Regulatory T cell	0.178055495483923	0.0268323134514857
Monocyte	Regulatory T cell	0.463471485822064	1.88238736053813e-18
Natural killer cell	Regulatory T cell	0.697351618747902	1.26384848677749e-51
Natural killer T cell	Regulatory T cell	0.80767901109438	3.04291644296002e-82
Neutrophil	Regulatory T cell	0.453184183972732	1.58113656918109e-17
Plasmacytoid dendritic cell	Regulatory T cell	0.623740147346376	4.86359462633117e-38
Regulatory T cell	Regulatory T cell	1	0
T follicular helper cell	Regulatory T cell	0.806551058183404	2.00590125146962e-84
Type 1 T helper cell	Regulatory T cell	0.839852262253066	8.08189132083851e-98
Type 17 T helper cell	Regulatory T cell	0.388762417893508	1.52048511563785e-14
Type 2 T helper cell	Regulatory T cell	0.524651641678262	4.60132694877885e-27
riskScore	Regulatory T cell	0.092435189120272	0.0786080874716716
Activated B cell	T follicular helper cell	0.740504096606558	1.02477603450374e-61
Activated CD4 T cell	T follicular helper cell	0.564142286643542	1.88499676651909e-29
Activated CD8 T cell	T follicular helper cell	0.667914957970207	1.01325880426196e-45
Activated dendritic cell	T follicular helper cell	0.636492588275612	3.99181094843595e-40
CD56bright natural killer cell	T follicular helper cell	0.43708902850038	3.87265839807366e-16
CD56dim natural killer cell	T follicular helper cell	0.352723619926031	5.11972900051364e-10
Central memory CD4 T cell	T follicular helper cell	0.697654680828965	1.09198547923286e-51
Central memory CD8 T cell	T follicular helper cell	0.581069859321994	1.03964678728612e-31
Effector memeory CD4 T cell	T follicular helper cell	0.605762645190069	2.95842903137455e-35
Effector memeory CD8 T cell	T follicular helper cell	0.765243295127775	1.80738113559694e-68
Eosinophil	T follicular helper cell	0.338531383232538	3.73460790538506e-09
Gamma delta T cell	T follicular helper cell	0.561187180473971	4.51045609687135e-29
Immature  B cell	T follicular helper cell	0.781408947657064	2.37416598794267e-73
Immature dendritic cell	T follicular helper cell	0.503031122569043	2.45690760064063e-22
Macrophage	T follicular helper cell	0.751301937640461	1.45288041087224e-64
Mast cell	T follicular helper cell	0.718334402915016	2.69639154391778e-56
MDSC	T follicular helper cell	0.781479444714	2.26167575100908e-73
Memory B cell	T follicular helper cell	0.181794097414389	0.0210009369395538
Monocyte	T follicular helper cell	0.459017376395578	4.79764422039635e-18
Natural killer cell	T follicular helper cell	0.577580380443264	3.0927508477247e-31
Natural killer T cell	T follicular helper cell	0.753036767351182	4.91224507233335e-65
Neutrophil	T follicular helper cell	0.336649287427791	4.77302163258727e-09
Plasmacytoid dendritic cell	T follicular helper cell	0.580420082177993	1.26929896424934e-31
Regulatory T cell	T follicular helper cell	0.806551058183404	7.80295586821682e-82
T follicular helper cell	T follicular helper cell	1	0
Type 1 T helper cell	T follicular helper cell	0.786049209454534	2.0659494345771e-77
Type 17 T helper cell	T follicular helper cell	0.259127863597979	5.56364125893484e-07
Type 2 T helper cell	T follicular helper cell	0.530281872823309	1.03098555090457e-27
riskScore	T follicular helper cell	0.11725316371223	0.0254844550351745
Activated B cell	Type 1 T helper cell	0.804768310544303	3.4182389570667e-81
Activated CD4 T cell	Type 1 T helper cell	0.496473641877961	1.16616897792095e-21
Activated CD8 T cell	Type 1 T helper cell	0.770889080783606	3.97537178788234e-70
Activated dendritic cell	Type 1 T helper cell	0.635254750272329	6.40347479860366e-40
CD56bright natural killer cell	Type 1 T helper cell	0.600925192336544	1.54211665967363e-34
CD56dim natural killer cell	Type 1 T helper cell	0.410643098739533	5.17990726698932e-14
Central memory CD4 T cell	Type 1 T helper cell	0.705566909233409	2.10905299033519e-53
Central memory CD8 T cell	Type 1 T helper cell	0.668555954341992	7.67854726898042e-46
Effector memeory CD4 T cell	Type 1 T helper cell	0.616565503808096	6.51626170946168e-37
Effector memeory CD8 T cell	Type 1 T helper cell	0.865669488723231	6.48084979180851e-108
Eosinophil	Type 1 T helper cell	0.456429808263058	8.19703256323484e-18
Gamma delta T cell	Type 1 T helper cell	0.603368254046305	6.74489517714082e-35
Immature  B cell	Type 1 T helper cell	0.833442549414423	2.05793245397745e-92
Immature dendritic cell	Type 1 T helper cell	0.56337835946073	2.362001719015e-29
Macrophage	Type 1 T helper cell	0.813145919876206	2.87555526193242e-84
Mast cell	Type 1 T helper cell	0.741485786940333	5.73220821004375e-62
MDSC	Type 1 T helper cell	0.834631465972501	6.3555590811571e-93
Memory B cell	Type 1 T helper cell	0.224265438228271	0.000825209567789748
Monocyte	Type 1 T helper cell	0.503743117756177	2.07249702756734e-22
Natural killer cell	Type 1 T helper cell	0.762412123286056	1.1786649536644e-67
Natural killer T cell	Type 1 T helper cell	0.797530445446066	1.18280201648486e-78
Neutrophil	Type 1 T helper cell	0.465155888812343	1.32252228987939e-18
Plasmacytoid dendritic cell	Type 1 T helper cell	0.620460152604804	1.61532849737509e-37
