Cell1	Cell2	cor	p.value
MDSC	Activated CD8 T cell	0.789130758744019	2.04785734288147e-78
Memory B cell	Activated CD8 T cell	0.169695949454865	0.00117219397912351
Monocyte	Activated CD8 T cell	0.440080763034053	1.25882585815822e-18
Natural killer cell	Activated CD8 T cell	0.52514211052634	4.04364608973518e-27
Natural killer T cell	Activated CD8 T cell	0.691265289206023	6.98774432590512e-53
Neutrophil	Activated CD8 T cell	0.36628063046948	5.74148548037924e-13
Plasmacytoid dendritic cell	Activated CD8 T cell	0.407161898874606	6.28585353411504e-16
Regulatory T cell	Activated CD8 T cell	0.68320403855311	3.12888368168569e-51
T follicular helper cell	Activated CD8 T cell	0.667914957970207	3.05198435018662e-48
Type 1 T helper cell	Activated CD8 T cell	0.770889080783606	1.05168565816993e-72
Type 17 T helper cell	Activated CD8 T cell	0.269441758643165	1.86249013617916e-07
Type 2 T helper cell	Activated CD8 T cell	0.431994173581316	6.1718428813637e-18
riskScore	Activated CD8 T cell	-0.0956085601992182	0.0688389735364792
Activated B cell	Activated dendritic cell	0.534043806519949	9.22702097822048e-26
Activated CD4 T cell	Activated dendritic cell	0.557997502246623	1.15043157320373e-28
Activated CD8 T cell	Activated dendritic cell	0.490543610081531	4.65699941001271e-21
Activated dendritic cell	Activated dendritic cell	1	0
CD56bright natural killer cell	Activated dendritic cell	0.444327144477823	5.369650972659e-19
CD56dim natural killer cell	Activated dendritic cell	0.362410316955772	1.04323860900228e-12
Central memory CD4 T cell	Activated dendritic cell	0.666870046076475	4.8127994721591e-48
Central memory CD8 T cell	Activated dendritic cell	0.6367966538735	1.12264646414435e-42
Effector memeory CD4 T cell	Activated dendritic cell	0.543847413259769	2.49502670980754e-29
Effector memeory CD8 T cell	Activated dendritic cell	0.572306397770988	5.71817807520233e-33
Eosinophil	Activated dendritic cell	0.230147301217115	9.45080889316283e-06
Gamma delta T cell	Activated dendritic cell	0.429081465997589	1.08296580104148e-17
Immature  B cell	Activated dendritic cell	0.620352525425353	5.50877204554762e-40
